,Name,Location,coordinates,lat,lon,Date established as park,"Area, acres","area, acres","area, km^2",Recreation visitors,Description,national park full name,State,Park Designation,Park Code,postalCode,list of postal codes,count_of_postCodes,total population
42,Mount Rainier,Washington,46.85°N 121.75°W,46.85,-121.75,"March 2, 1899","236,381.64 acres (956.6 km2)","236,381.64",956.6,1518491,"Mount Rainier, an active stratovolcano, is the most prominent peak in the Cascades and is covered by 26 named glaciers including Carbon Glacier and Emmons Glacier, the largest in the contiguous United States. The mountain is popular for climbing, and more than half of the park is covered by subalpine and alpine forests and meadows seasonally in bloom with wildflowers. Paradise on the south slope is the snowiest place on Earth where snowfall is measured regularly.[88] The Longmire visitor center is the start of the Wonderland Trail, which encircles the mountain.[89]",Mount Rainier National Park,WA,National Park,mora,98304,"['97010', '97014', '97018', '97024', '97031', '97040', '97044', '97051', '97053', '97058', '97203', '97208', '97210', '97211', '97212', '97213', '97217', '97218', '97220', '97227', '97228', '97229', '97230', '97231', '97238', '97240', '97242', '97251', '97253', '97254', '97255', '97256', '97258', '97259', '97271', '97272', '97280', '97282', '97283', '97286', '97290', '97292', '97293', '97294', '97296', '97299', '98001', '98002', '98003', '98004', '98005', '98006', '98007', '98008', '98009', '98010', '98011', '98012', '98013', '98014', '98015', '98019', '98020', '98021', '98022', '98023', '98024', '98025', '98026', '98027', '98028', '98029', '98030', '98031', '98032', '98033', '98034', '98035', '98036', '98037', '98038', '98039', '98040', '98041', '98042', '98043', '98045', '98047', '98050', '98051', '98052', '98053', '98054', '98055', '98056', '98057', '98058', '98059', '98060', '98061', '98062', '98063', '98064', '98065', '98067', '98068', '98070', '98071', '98072', '98073', '98074', '98075', '98082', '98083', '98092', '98093', '98101', '98102', '98103', '98104', '98105', '98106', '98107', '98108', '98109', '98110', '98111', '98112', '98113', '98114', '98115', '98116', '98117', '98118', '98119', '98121', '98122', '98124', '98125', '98126', '98129', '98130', '98131', '98132', '98133', '98134', '98136', '98138', '98140', '98144', '98145', '98146', '98148', '98150', '98151', '98154', '98155', '98158', '98160', '98161', '98164', '98166', '98168', '98171', '98174', '98177', '98178', '98181', '98184', '98185', '98188', '98190', '98191', '98195', '98198', '98199', '98203', '98204', '98206', '98208', '98224', '98236', '98251', '98256', '98272', '98275', '98288', '98290', '98291', '98293', '98294', '98296', '98303', '98304', '98310', '98311', '98312', '98314', '98315', '98319', '98321', '98322', '98323', '98325', '98327', '98328', '98329', '98330', '98332', '98333', '98335', '98336', '98337', '98338', '98340', '98342', '98344', '98345', '98346', '98348', '98349', '98351', '98352', '98353', '98354', '98355', '98356', '98359', '98360', '98361', '98364', '98365', '98366', '98367', '98370', '98371', '98372', '98373', '98374', '98375', '98376', '98377', '98378', '98383', '98384', '98385', '98386', '98387', '98388', '98389', '98390', '98392', '98393', '98394', '98395', '98396', '98397', '98398', '98401', '98402', '98403', '98404', '98405', '98406', '98407', '98408', '98409', '98411', '98412', '98413', '98415', '98416', '98418', '98421', '98422', '98424', '98430', '98431', '98433', '98434', '98438', '98439', '98442', '98443', '98444', '98445', '98446', '98447', '98448', '98450', '98455', '98460', '98464', '98465', '98466', '98467', '98471', '98477', '98481', '98485', '98492', '98493', '98494', '98497', '98498', '98499', '98501', '98503', '98504', '98506', '98507', '98508', '98509', '98513', '98516', '98524', '98528', '98530', '98533', '98540', '98542', '98558', '98564', '98570', '98576', '98580', '98582', '98585', '98589', '98591', '98597', '98599', '98601', '98602', '98603', '98604', '98605', '98606', '98607', '98609', '98610', '98616', '98617', '98619', '98622', '98623', '98625', '98629', '98635', '98639', '98642', '98645', '98648', '98649', '98650', '98651', '98653', '98655', '98660', '98661', '98662', '98663', '98664', '98665', '98666', '98667', '98668', '98670', '98671', '98672', '98674', '98675', '98682', '98683', '98684', '98685', '98686', '98687', '98731', '98925', '98929']",381,4894309.0
43,North Cascades,Washington,48.70°N 121.20°W,48.7,-121.2,2-Oct-68,"504,780.94 acres (2,042.8 km2)","504,780.94","2,042.80",30085,"This complex includes two geographically distinct units of the national park, as well as Ross Lake and Lake Chelan National Recreation Areas. The highly glaciated mountains are spectacular examples of Cascade geology. Popular hiking and climbing areas include Cascade Pass, Mount Shuksan, Mount Triumph, and Eldorado Peak.[90]",North Cascades National Park,WA,National Park,noca,98284,"['98001', '98002', '98003', '98004', '98005', '98006', '98007', '98008', '98009', '98010', '98011', '98012', '98013', '98014', '98015', '98019', '98020', '98021', '98023', '98024', '98025', '98026', '98027', '98028', '98029', '98030', '98031', '98032', '98033', '98034', '98035', '98036', '98037', '98038', '98039', '98040', '98041', '98042', '98043', '98045', '98046', '98050', '98051', '98052', '98053', '98054', '98055', '98056', '98057', '98058', '98059', '98060', '98061', '98062', '98063', '98064', '98065', '98067', '98068', '98070', '98071', '98072', '98073', '98074', '98075', '98082', '98083', '98092', '98093', '98101', '98102', '98103', '98104', '98105', '98106', '98107', '98108', '98109', '98110', '98111', '98112', '98113', '98114', '98115', '98116', '98117', '98118', '98119', '98121', '98122', '98124', '98125', '98126', '98129', '98130', '98131', '98132', '98133', '98134', '98136', '98138', '98140', '98144', '98145', '98146', '98148', '98150', '98151', '98154', '98155', '98158', '98160', '98161', '98164', '98166', '98168', '98171', '98174', '98177', '98178', '98181', '98184', '98185', '98188', '98190', '98191', '98195', '98198', '98199', '98201', '98203', '98204', '98205', '98206', '98207', '98208', '98220', '98221', '98222', '98223', '98224', '98225', '98226', '98227', '98228', '98229', '98230', '98231', '98232', '98233', '98235', '98236', '98237', '98238', '98239', '98240', '98241', '98243', '98244', '98245', '98246', '98247', '98248', '98249', '98251', '98252', '98253', '98255', '98256', '98257', '98258', '98259', '98260', '98261', '98262', '98263', '98264', '98266', '98267', '98270', '98271', '98272', '98273', '98274', '98275', '98276', '98277', '98278', '98279', '98280', '98282', '98283', '98284', '98286', '98287', '98288', '98290', '98291', '98292', '98293', '98294', '98295', '98296', '98297', '98310', '98311', '98312', '98314', '98315', '98319', '98320', '98322', '98325', '98329', '98332', '98335', '98337', '98339', '98340', '98342', '98345', '98346', '98353', '98358', '98359', '98364', '98365', '98366', '98367', '98368', '98370', '98376', '98378', '98380', '98383', '98384', '98386', '98392', '98393', '98394', '98422', '98442', '98524', '98528', '98546', '98588']",246,3695313.0
44,Olympic,Washington,47.97°N 123.50°W,47.97,-123.5,29-Jun-38,"922,649.41 acres (3,733.8 km2)","922,649.41","3,733.80",3104455,"Situated on the Olympic Peninsula, this park includes a wide range of ecosystems from Pacific shoreline to temperate rainforests to the alpine slopes of the Olympic Mountains, the tallest of which is Mount Olympus. The Hoh Rainforest and Quinault Rainforest are the wettest area in the contiguous United States, with the Hoh receiving an average of almost 12 ft (3.7 m) of rain every year.[91][92] (WHS)[93] (BR)[94]",Olympic National Park,WA,National Park,olym,98362,"['98061', '98221', '98222', '98230', '98239', '98240', '98243', '98245', '98248', '98249', '98250', '98253', '98261', '98262', '98277', '98278', '98279', '98280', '98281', '98286', '98297', '98303', '98310', '98311', '98312', '98314', '98315', '98320', '98322', '98324', '98325', '98327', '98329', '98332', '98333', '98335', '98337', '98339', '98340', '98343', '98345', '98349', '98351', '98353', '98358', '98359', '98362', '98363', '98364', '98365', '98366', '98367', '98368', '98370', '98376', '98378', '98380', '98382', '98383', '98384', '98388', '98392', '98393', '98394', '98395', '98433', '98438', '98498', '98500', '98501', '98502', '98503', '98504', '98505', '98506', '98507', '98508', '98509', '98512', '98513', '98516', '98520', '98524', '98526', '98528', '98535', '98536', '98537', '98540', '98541', '98546', '98548', '98550', '98552', '98555', '98556', '98557', '98558', '98559', '98560', '98562', '98563', '98566', '98569', '98571', '98575', '98583', '98584', '98587', '98588', '98592', '98595', '98597', '98599']",114,968946.0
45,Petrified Forest,Arizona,35.07°N 109.78°W,35.07,-109.78,9-Dec-62,"221,390.21 acres (895.9 km2)","221,390.21",895.9,644922,This portion of the Chinle Formation has a large concentration of 225-million-year-old petrified wood. The surrounding Painted Desert features eroded cliffs of red-hued volcanic rock called bentonite. Dinosaur fossils and over 350 Native American sites are also protected in this park.[95],Petrified Forest National Park,AZ,National Park,pefo,86028,"['85901', '85902', '85912', '85923', '85924', '85925', '85926', '85929', '85930', '85934', '85935', '85936', '85937', '85938', '85939', '85940', '85942', '86025', '86028', '86029', '86031', '86034', '86042', '86502', '86503', '86504', '86505', '86506', '86507', '86508', '86510', '86511', '86512', '86515', '86520', '86538', '86540', '86549', '86556', '87301', '87305', '87317', '87319', '87320', '87325', '87326', '87327', '87328', '87364', '87375', '87378', '87455']",52,181579.0
46,Pinnacles,California,36.48°N 121.16°W,36.48,-121.16,10-Jan-13,"26,685.73 acres (108.0 km2)","26,685.73",108,222152,"Named for the eroded leftovers of a portion of an extinct volcano, the park's massive black and gold monoliths of andesite and rhyolite are a popular destination for rock climbers. Hikers have access to trails crossing the Coast Range wilderness. The park is home to the endangered California condor (Gymnogyps californianus) and one of the few locations in the world where these extremely rare birds can be seen in the wild. Pinnacles also supports a dense population of prairie falcons, and more than 13 species of bat which populate its talus caves.[96]",Pinnacles National Park,CA,National Park,pinn,95043,"['93210', '93402', '93403', '93406', '93407', '93408', '93410', '93412', '93421', '93422', '93423', '93426', '93428', '93430', '93432', '93435', '93442', '93443', '93446', '93447', '93448', '93450', '93451', '93452', '93461', '93465', '93483', '93492', '93608', '93610', '93620', '93622', '93635', '93637', '93640', '93660', '93661', '93665', '93668', '93688', '93901', '93902', '93905', '93906', '93907', '93908', '93912', '93915', '93920', '93924', '93925', '93926', '93927', '93928', '93930', '93932', '93933', '93942', '93943', '93954', '93955', '93960', '93962', '94023', '94035', '94039', '94042', '94088', '94090', '94302', '94309', '94310', '94550', '94566', '94586', '95004', '95009', '95011', '95012', '95013', '95015', '95019', '95020', '95021', '95023', '95024', '95026', '95031', '95037', '95038', '95039', '95042', '95043', '95044', '95045', '95046', '95052', '95053', '95055', '95056', '95071', '95075', '95076', '95101', '95102', '95103', '95106', '95108', '95109', '95111', '95114', '95115', '95116', '95119', '95120', '95121', '95122', '95123', '95127', '95132', '95133', '95135', '95136', '95137', '95138', '95139', '95140', '95141', '95142', '95148', '95150', '95151', '95152', '95153', '95154', '95155', '95156', '95157', '95158', '95159', '95160', '95161', '95164', '95170', '95171', '95172', '95173', '95190', '95191', '95192', '95193', '95194', '95196', '95201', '95301', '95303', '95307', '95312', '95313', '95315', '95316', '95317', '95319', '95322', '95323', '95324', '95325', '95326', '95328', '95329', '95333', '95334', '95340', '95341', '95342', '95343', '95344', '95348', '95350', '95351', '95352', '95353', '95354', '95355', '95356', '95357', '95358', '95360', '95363', '95365', '95368', '95369', '95374', '95376', '95377', '95380', '95381', '95382', '95385', '95386', '95387', '95388', '95390', '95397']",204,2418744.0
47,Redwood,California,41.30°N 124.00°W,41.3,-124.0,2-Oct-68,"138,999.37 acres (562.5 km2)","138,999.37",562.5,482536,"This park and the co-managed state parks protect almost half of all remaining coastal redwoods, the tallest trees on earth. There are three large river systems in this very seismically active area, and 37 miles (60 km) of protected coastline reveal tide pools and seastacks. The prairie, estuary, coast, river, and forest ecosystems contain a wide variety of animal and plant species.[97] (WHS)[98]",Redwood National and State Parks,CA,National and State Parks,redw,95531,"['95501', '95502', '95503', '95518', '95519', '95521', '95522', '95524', '95525', '95527', '95531', '95532', '95534', '95536', '95537', '95538', '95540', '95543', '95546', '95548', '95549', '95550', '95551', '95555', '95556', '95563', '95564', '95567', '95568', '95570', '95573', '96010', '96039', '96046', '97257', '97406', '97414', '97415', '97442', '97444', '97450', '97464', '97465', '97466', '97469', '97476', '97491', '97497', '97523', '97526', '97527', '97528', '97531', '97532', '97533', '97534', '97538', '97543', '97544']",59,267668.0
48,Rocky Mountain,Colorado,40.40°N 105.58°W,40.4,-105.58,26-Jan-15,"265,807.25 acres (1,075.7 km2)","265,807.25","1,075.70",4590493,"Bisected north to south by the Continental Divide, this portion of the Rockies has ecosystems varying from over 150 riparian lakes to montane and subalpine forests to treeless alpine tundra. Wildlife including mule deer, bighorn sheep, black bears, and cougars inhabit its igneous mountains and glacial valleys. Longs Peak, a classic Colorado fourteener, and the scenic Bear Lake are popular destinations, as well as the historic Trail Ridge Road, which reaches an elevation of more than 12,000 feet (3,700 m).[99] (BR)[100]",Rocky Mountain National Park,CO,National Park,romo,80517,"['80000', '80001', '80002', '80003', '80004', '80005', '80006', '80007', '80010', '80011', '80012', '80013', '80014', '80015', '80016', '80017', '80018', '80019', '80020', '80021', '80022', '80024', '80025', '80026', '80027', '80028', '80030', '80031', '80033', '80034', '80038', '80045', '80061', '80104', '80108', '80109', '80110', '80111', '80112', '80115', '80116', '80118', '80120', '80121', '80122', '80123', '80124', '80125', '80126', '80127', '80128', '80129', '80130', '80131', '80134', '80135', '80138', '80139', '80162', '80163', '80201', '80202', '80203', '80204', '80205', '80206', '80207', '80209', '80210', '80211', '80212', '80214', '80215', '80216', '80218', '80219', '80220', '80221', '80222', '80223', '80224', '80225', '80226', '80227', '80228', '80229', '80230', '80231', '80232', '80233', '80234', '80235', '80236', '80237', '80239', '80241', '80246', '80247', '80249', '80256', '80259', '80260', '80261', '80262', '80264', '80266', '80273', '80274', '80280', '80281', '80290', '80291', '80292', '80293', '80294', '80295', '80296', '80301', '80302', '80303', '80304', '80305', '80306', '80307', '80308', '80309', '80310', '80314', '80321', '80322', '80323', '80328', '80329', '80401', '80402', '80403', '80419', '80420', '80421', '80422', '80424', '80425', '80427', '80429', '80432', '80433', '80434', '80435', '80436', '80437', '80438', '80439', '80440', '80442', '80443', '80444', '80446', '80447', '80448', '80451', '80452', '80453', '80454', '80455', '80456', '80457', '80461', '80465', '80466', '80468', '80470', '80471', '80473', '80474', '80475', '80476', '80478', '80480', '80481', '80482', '80497', '80498', '80501', '80502', '80503', '80504', '80510', '80511', '80512', '80513', '80514', '80515', '80516', '80517', '80520', '80521', '80522', '80523', '80524', '80525', '80526', '80527', '80528', '80530', '80532', '80533', '80534', '80535', '80536', '80537', '80538', '80539', '80540', '80541', '80542', '80543', '80544', '80545', '80546', '80547', '80549', '80550', '80551', '80553', '80601', '80602', '80610', '80612', '80615', '80620', '80621', '80623', '80630', '80631', '80632', '80634', '80639', '80640', '80645', '80646', '80648', '80650', '80651', '80924', '81645', '81649', '81657', '82001', '82002', '82003', '82005', '82006', '82007', '82008', '82009', '82010', '82052', '82055', '82059', '82061', '82063', '82070', '82072', '82073', '82084', '82703']",266,3870918.0
49,Saguaro,Arizona,32.25°N 110.50°W,32.25,-110.5,14-Oct-94,"91,715.72 acres (371.2 km2)","91,715.72",371.2,957405,"Split into the separate Rincon Mountain and Tucson Mountain districts, this park is evidence that the dry Sonoran Desert is still home to a great variety of life spanning six biotic communities. Beyond the namesake giant saguaro cacti, there are barrel cacti, chollas, and prickly pears, as well as lesser long-nosed bats, spotted owls, and javelinas.[101]",Saguaro National Park,AZ,National Park,sagu,85730,"['85208', '85212', '85217', '85218', '85219', '85228', '85231', '85232', '85235', '85237', '85241', '85242', '85245', '85273', '85278', '85279', '85291', '85292', '85530', '85536', '85539', '85542', '85550', '85601', '85602', '85609', '85611', '85613', '85614', '85615', '85616', '85618', '85619', '85621', '85622', '85623', '85624', '85627', '85628', '85629', '85630', '85631', '85633', '85635', '85636', '85637', '85638', '85640', '85641', '85645', '85646', '85648', '85650', '85652', '85653', '85654', '85662', '85701', '85704', '85705', '85706', '85707', '85708', '85709', '85710', '85711', '85712', '85713', '85714', '85715', '85716', '85718', '85719', '85721', '85724', '85726', '85730', '85731', '85732', '85734', '85735', '85736', '85737', '85739', '85741', '85742', '85743', '85745', '85746', '85747', '85748', '85749', '85750', '85751', '85777']",95,1158216.0
50,Sequoia,California,36.43°N 118.68°W,36.43,-118.68,"September 25, 1890","404,062.63 acres (1,635.2 km2)","404,062.63","1,635.20",1229594,"This park protects the Giant Forest, which boasts some of the world's largest trees, the General Sherman being the largest measured tree in the park. Other features include over 240 caves, a long segment of the Sierra Nevada including the tallest mountain in the contiguous United States, and Moro Rock, a large granite dome.[102] (BR)[79]",Sequoia & Kings Canyon National Parks,CA,National Parks,seki,93271,"['93201', '93202', '93205', '93206', '93207', '93208', '93212', '93215', '93216', '93217', '93218', '93219', '93220', '93221', '93223', '93226', '93227', '93230', '93235', '93237', '93238', '93240', '93241', '93242', '93244', '93247', '93250', '93251', '93255', '93256', '93257', '93258', '93260', '93261', '93262', '93263', '93265', '93267', '93270', '93271', '93272', '93274', '93275', '93276', '93277', '93278', '93279', '93280', '93282', '93283', '93285', '93286', '93287', '93291', '93292', '93301', '93302', '93303', '93304', '93305', '93306', '93307', '93308', '93309', '93312', '93380', '93381', '93382', '93383', '93384', '93385', '93386', '93387', '93388', '93389', '93390', '93512', '93513', '93514', '93518', '93524', '93526', '93531', '93540', '93545', '93546', '93556', '93581', '93596', '93601', '93602', '93603', '93604', '93605', '93611', '93612', '93613', '93614', '93615', '93616', '93618', '93621', '93623', '93625', '93626', '93628', '93631', '93633', '93634', '93641', '93642', '93643', '93644', '93645', '93646', '93647', '93648', '93649', '93651', '93654', '93657', '93662', '93664', '93666', '93667', '93669', '93670', '93673', '93675', '93707', '93708', '93709', '93712', '93714', '93715', '93716', '93717', '93718', '93724', '93727', '93729', '93740', '93741', '93744', '93745', '93747', '93750', '93755', '93759', '93760', '93761', '93762', '93764', '93765', '93771', '93772', '93773', '93774', '93775', '93776', '93777', '93778', '93779', '93780', '93782', '93784', '93786', '93790', '93791', '93792', '93793', '93794', '93825', '93844', '93888']",175,1529628.0
51,Shenandoah,Virginia,38.53°N 78.35°W,38.53,-78.35,26-Dec-35,"199,223.77 acres (806.2 km2)","199,223.77",806.2,1264880,"Shenandoah's Blue Ridge Mountains are covered by hardwood forests that teem with a wide variety of wildlife. The Skyline Drive and Appalachian Trail run the entire length of this narrow park, along with more than 500 miles (800 km) of hiking trails passing scenic overlooks and cataracts of the Shenandoah River.[103]",Shenandoah National Park,VA,National Park,shen,22835,"['15532', '15535', '15538', '15540', '15542', '15545', '15551', '15552', '15558', '15562', '15564', '17211', '17212', '17225', '17231', '17235', '17236', '17238', '17256', '17263', '17267', '17269', '17270', '17272', '20102', '20104', '20105', '20106', '20115', '20116', '20117', '20118', '20119', '20128', '20129', '20130', '20131', '20132', '20134', '20135', '20137', '20138', '20139', '20140', '20141', '20142', '20144', '20146', '20149', '20155', '20158', '20159', '20160', '20163', '20167', '20169', '20177', '20178', '20180', '20184', '20185', '20186', '20187', '20188', '20197', '20198', '20199', '21501', '21502', '21503', '21504', '21505', '21520', '21521', '21522', '21523', '21524', '21528', '21529', '21530', '21532', '21536', '21538', '21539', '21540', '21542', '21543', '21545', '21555', '21556', '21557', '21560', '21561', '21562', '21711', '21713', '21715', '21716', '21718', '21721', '21722', '21733', '21734', '21736', '21740', '21741', '21742', '21746', '21747', '21748', '21749', '21750', '21756', '21758', '21766', '21767', '21779', '21781', '21782', '21795', '22002', '22093', '22393', '22412', '22433', '22508', '22534', '22542', '22553', '22567', '22601', '22602', '22603', '22604', '22610', '22611', '22620', '22622', '22623', '22624', '22625', '22626', '22627', '22630', '22637', '22638', '22639', '22640', '22641', '22642', '22643', '22644', '22645', '22646', '22649', '22650', '22651', '22652', '22654', '22655', '22656', '22657', '22660', '22663', '22664', '22701', '22709', '22711', '22712', '22713', '22714', '22715', '22716', '22718', '22719', '22720', '22721', '22722', '22723', '22724', '22725', '22726', '22727', '22728', '22729', '22730', '22731', '22732', '22733', '22734', '22735', '22736', '22737', '22738', '22739', '22740', '22741', '22742', '22743', '22746', '22747', '22748', '22749', '22801', '22802', '22807', '22810', '22811', '22812', '22815', '22820', '22821', '22824', '22827', '22830', '22831', '22832', '22833', '22834', '22835', '22840', '22841', '22842', '22843', '22844', '22845', '22846', '22847', '22848', '22849', '22850', '22851', '22853', '22865', '22875', '22880', '22901', '22902', '22903', '22904', '22905', '22906', '22907', '22908', '22909', '22910', '22911', '22920', '22922', '22923', '22924', '22931', '22932', '22935', '22936', '22937', '22938', '22939', '22940', '22942', '22943', '22945', '22946', '22947', '22948', '22949', '22952', '22953', '22954', '22957', '22958', '22959', '22960', '22963', '22964', '22965', '22967', '22968', '22969', '22971', '22972', '22973', '22974', '22976', '22980', '22987', '22989', '23004', '23014', '23015', '23022', '23024', '23027', '23038', '23039', '23040', '23054', '23055', '23063', '23065', '23067', '23084', '23093', '23101', '23102', '23103', '23113', '23117', '23123', '23129', '23139', '23146', '23153', '23160', '23170', '23192', '23233', '23238', '23921', '23936', '24401', '24402', '24407', '24411', '24415', '24421', '24431', '24435', '24437', '24440', '24441', '24459', '24463', '24464', '24467', '24469', '24471', '24472', '24475', '24476', '24477', '24479', '24482', '24483', '24486', '24521', '24533', '24536', '24553', '24562', '24572', '24574', '24581', '24590', '24595', '24599', '25401', '25402', '25410', '25411', '25413', '25414', '25419', '25420', '25421', '25422', '25423', '25425', '25427', '25428', '25429', '25430', '25431', '25432', '25434', '25437', '25438', '25440', '25441', '25442', '25443', '25444', '25446', '25543', '26704', '26710', '26711', '26714', '26717', '26719', '26722', '26726', '26731', '26734', '26739', '26743', '26750', '26753', '26755', '26757', '26761', '26763', '26767', '26801', '26802', '26808', '26810', '26812', '26817', '26818', '26823', '26824', '26833', '26836', '26838', '26845', '26847', '26851', '26852', '26855', '26865', '26866']",422,1758614.0
52,Theodore Roosevelt,North Dakota,46.97°N 103.45°W,46.97,-103.45,10-Nov-78,"70,446.89 acres (285.1 km2)","70,446.89",285.1,749389,"This region that enticed and influenced President Theodore Roosevelt consists of a park of three units in the northern badlands. Besides Roosevelt's historic cabin, there are numerous scenic drives and backcountry hiking opportunities. Wildlife includes American bison, pronghorn, bighorn sheep, and wild horses.[104]",Theodore Roosevelt National Park,ND,National Park,thro,58645,"['57640', '57650', '57755', '58601', '58620', '58621', '58622', '58623', '58627', '58632', '58634', '58640', '58642', '58643', '58645', '58647', '58649', '58651', '58653', '58654', '58655', '58831', '58835', '58838', '58847', '58853', '58854', '59212', '59217', '59221', '59262', '59270', '59313', '59353']",34,65484.0
53,Voyageurs,Minnesota,48.50°N 92.88°W,48.5,-92.88,8-Jan-71,"218,222.35 acres (883.1 km2)","218,222.35",883.1,239656,"This park protecting four lakes near the Canada–US border is a site for canoeing, kayaking, and fishing. The park also preserves a history populated by Ojibwe Native Americans, French fur traders called voyageurs, and gold miners. Formed by glaciers, the region features tall bluffs, rock gardens, islands, bays, and several historic buildings.[106]",Voyageurs National Park,MN,National Park,voya,56649,"['55703', '55709', '55710', '55713', '55715', '55719', '55723', '55725', '55728', '55734', '55746', '55751', '55753', '55758', '55768', '55769', '55771', '55772', '55781', '55792', '56366', '56627', '56628', '56629', '56636', '56637', '56639', '56649', '56653', '56654', '56657', '56658', '56659', '56660', '56661', '56668', '56669', '56679', '56680', '56681', '56688']",41,79216.0
54,White Sands,New Mexico,32.78°N 106.17°W,32.78,-106.17,"December 20, 2019[107]","146,344.31 acres (592.2 km2)","146,344.31",592.2,603008,"Located in the mountain-ringed Tularosa Basin, White Sands consists of the southern part of a 275-square-mile (710 km2) field of white sand dunes composed of gypsum crystals—the world's largest gypsum dunefield. The park is completely within the White Sands Missile Range and is subject to closure when tests are conducted.[108]",White Sands National Park,NM,National Park,whsa,88310,"['79821', '79835', '79837', '79847', '79901', '79902', '79903', '79904', '79905', '79906', '79907', '79908', '79910', '79911', '79912', '79913', '79914', '79915', '79916', '79917', '79918', '79920', '79922', '79923', '79924', '79925', '79926', '79927', '79928', '79929', '79930', '79931', '79932', '79934', '79935', '79936', '79937', '79938', '79940', '79941', '79942', '79943', '79944', '79945', '79946', '79947', '79948', '79949', '79950', '79951', '79952', '79953', '79954', '79955', '79958', '79960', '79961', '79966', '79968', '79973', '79974', '79975', '79976', '79977', '79978', '79980', '79982', '79983', '79984', '79985', '79986', '79987', '79988', '79989', '79990', '79991', '79992', '79993', '79994', '79995', '79996', '79997', '79998', '79999', '87011', '87832', '88001', '88002', '88003', '88005', '88006', '88007', '88008', '88011', '88012', '88018', '88021', '88024', '88027', '88032', '88044', '88046', '88047', '88048', '88052', '88058', '88063', '88072', '88081', '88085', '88301', '88310', '88311', '88312', '88314', '88315', '88316', '88317', '88323', '88324', '88325', '88330', '88332', '88336', '88337', '88338', '88339', '88340', '88341', '88342', '88344', '88345', '88346', '88347', '88348', '88349', '88350', '88352', '88354', '88355', '88510', '88511', '88512', '88513', '88514', '88515', '88516', '88517', '88518', '88519', '88520', '88521', '88523', '88524', '88525', '88526', '88527', '88528', '88529', '88530', '88531', '88532', '88533', '88534', '88535', '88536', '88538', '88539', '88540', '88541', '88542', '88543', '88544', '88545', '88546', '88547', '88548', '88549', '88550', '88553', '88554', '88555', '88556', '88557', '88558', '88559', '88560', '88561', '88562', '88563', '88565', '88566', '88567', '88568', '88569', '88570', '88571', '88572', '88573', '88574', '88575', '88576', '88577', '88578', '88579', '88580', '88581', '88582', '88583', '88584', '88585', '88586', '88587', '88588', '88589', '88590', '88595']",217,1105588.0
55,Wind Cave,South Dakota,43.57°N 103.48°W,43.57,-103.48,9-Jan-03,"33,970.84 acres (137.5 km2)","33,970.84",137.5,656397,"Wind Cave is distinctive for its calcite fin formations called boxwork, a unique formation rarely found elsewhere, and needle-like growths called frostwork. The cave is one of the longest and most complex caves in the world. Above ground is a mixed-grass prairie with animals such as bison, black-footed ferrets, and prairie dogs, and ponderosa pine forests that are home to cougars and elk.[109] The cave is culturally significant to the Lakota people as the site ""from which Wakan Tanka, the Great Mystery, sent the buffalo out into their hunting grounds.""[110]",Wind Cave National Park,SD,National Park,wica,57747,"['57700', '57701', '57702', '57703', '57706', '57708', '57709', '57718', '57719', '57722', '57725', '57730', '57732', '57735', '57738', '57741', '57744', '57745', '57747', '57751', '57754', '57759', '57761', '57763', '57764', '57766', '57769', '57773', '57774', '57778', '57779', '57782', '57783', '57785', '57787', '57788', '57793', '57799', '69337', '69339', '69346', '69347', '69348', '69354', '69367', '82225', '82242', '82712', '82779']",49,191955.0
56,Wrangell,Alaska,61.00°N 142.00°W,61.0,-142.0,2-Dec-80,"8,323,146.48 acres (33,682.6 km2)","8,323,146.48","33,682.60",79450,"An over 8 million acres (32,375 km2) plot of mountainous country—the largest national park in the system—protects the convergence of the Alaska, Chugach, and Wrangell-Saint Elias Ranges, which include many of the continent's tallest mountains and volcanoes, including the 18,008-foot Mount Saint Elias. More than a quarter of the park is covered with glaciers, including the tidewater Hubbard Glacier, piedmont Malaspina Glacier, and valley Nabesna Glacier.[111] (WHS)[52]",Wrangell - St Elias National Park & Preserve,AK,National Park & Preserve,wrst,99573,"['99573', '99586', '99588']",3,1645.0
57,Yellowstone,"Wyoming, Montana, Idaho",44.60°N 110.50°W,44.6,-110.5,"March 1, 1872","2,219,790.71 acres (8,983.2 km2)","2,219,790.71","8,983.20",4115000,"Situated on the Yellowstone Caldera, the park has an expansive network of geothermal areas including boiling mud pots, vividly colored hot springs such as Grand Prismatic Spring, and regularly erupting geysers, the best-known being Old Faithful. The yellow-hued Grand Canyon of the Yellowstone River contains several high waterfalls, and four mountain ranges traverse the park. More than 60 mammal species including timber wolves, grizzly bears, black bears, lynxes, bison, and elk, make this park one of the best wildlife viewing spots in the country.[112] (WHS)[113] (BR)[114]",Yellowstone National Park,WY,National Park,yell,82190,"['59018', '59027', '59030', '59047', '59052', '59065', '59082', '59086', '59714', '59715', '59716', '59717', '59718', '59719', '59720', '59729', '59730', '59740', '59741', '59745', '59752', '59758', '59760', '59771', '59772', '59773', '59795', '59798', '59817', '82190', '83012', '83013', '83420', '83421', '83422', '83424', '83429', '83433', '83436', '83438', '83441', '83445', '83447', '83448', '83451', '83452', '83460']",47,147723.0
